timestamps,TransCurrentGear,TransSelectedGear,WheelBasedVehicleSpeed,EngSpeed,TransOutputShaftSpeed,TransInputShaftSpeed,TransShiftInProcess,StateChange,Delta_Time,TransInputShaftSpeedVelocity,Delta_TransInputShaftSpeedVelocity,TransInputShaftSpeedAcceleration,TransInputShaftSpeedAccelerationForth,TransOutputShaftSpeedVelocity,Delta_TransOutputShaftSpeedVelocity,TransOutputShaftSpeedAcceleration,TransOutputShaftSpeedAccelerationForth
2024-08-05 10:20:01.196250907-03:00,5.0,6.0,15.545397732374584,1246.1387392543456,330.09679250170217,1267.0750115542019,b'Shift in process',0,0.001157722,16.091852646738364,0.007164152077329788,6.188145407386047,1466.3648454646566,4.192229264771617,-0.001469569656888936,-1.2693631604901143,2.596232368595478
2024-08-05 10:20:01.200375222-03:00,5.0,6.0,15.524792984114779,1243.1914073076978,329.6845678148262,1269.0846069027223,b'Shift in process',0,0.004124315,16.117374507664575,0.02552186092621156,6.188145407470467,1466.3648455446742,4.186994011248293,-0.0052352535233239905,-1.269363160506409,2.5962323687287885
2024-08-05 10:20:01.200971199-03:00,5.0,6.0,15.521815530633809,1242.7655082065064,329.625,1269.375,b'Shift in process',0,0.000595977,16.1210625,0.003687992335425605,6.18814540733217,1466.3648454135891,4.186237500000001,-0.0007565112482925684,-1.269363160478623,2.5962323685014654
2024-08-05 10:20:01.205002701-03:00,5.0,6.0,15.501674468707472,1239.884502600109,328.8145474082357,1269.9828394438232,b'Shift in process',0,0.004031502,16.128782060936555,0.007719560936553904,1.9148101468271388,13.443206838914191,4.175944752084593,-0.010292747915407574,-2.553080195770106,42.48717223166914
2024-08-05 10:20:01.205123187-03:00,5.0,6.0,15.50107253027684,1239.7984004869384,328.79032611528834,1270.0010054135337,b'Shift in process',0,0.000120486,16.129012768751878,0.00023070781532297246,1.9148101465977165,13.44320683247142,4.175637141664162,-0.000307610420430926,-2.5530801954660793,42.48717221143127
2024-08-05 10:20:01.206351378-03:00,5.0,6.0,15.494936586157545,1238.9207064769162,328.54342295632915,1270.1861827827531,b'Shift in process',0,0.001228191,16.131364521340963,0.0023517525890852653,1.9148101468625525,13.443206839908699,4.17250147154538,-0.00313567011878213,-2.553080195818183,42.487172234869455
2024-08-05 10:20:01.207639758-03:00,5.0,6.0,15.488499942602818,1238.0,328.2844200065209,1270.3804349951092,b'Shift in process',0,0.00128838,16.133831524437888,0.0024670030969247136,1.9148101467926495,13.443206837945642,4.169212134082816,-0.0032893374625642124,-2.553080195721924,42.48717222846186
2024-08-05 10:20:01.210316004-03:00,5.0,6.0,15.475129631384693,1236.373635435815,327.74641444261096,1270.7839391680418,b'Shift in process',0,0.002676246,16.13895602743413,0.005124502996242342,1.914810146840889,13.443206839300329,4.162379463421159,-0.006832670661657048,-2.553080195788073,42.487172232865134
2024-08-05 10:20:01.210919966-03:00,5.0,6.0,15.472112285481641,1236.0066055010172,327.625,1270.875,b'Shift in process',0,0.000603962,16.1401125,0.0011564725658708142,1.9148101467821057,13.443206837649544,4.1608374999999995,-0.0015419634211593092,-2.553080195706533,42.487172227437355
2024-08-05 10:20:01.214992343-03:00,5.0,6.0,15.451767015320716,1233.5318069792263,327.625,1270.4607958416816,b'Shift in process',0,0.004072377,16.134852107189356,-0.0052603928106442766,-1.2917254003360388,2.784074152418527,4.1608374999999995,0.0,0.0,0.0
2024-08-05 10:20:01.220151768-03:00,5.0,6.0,15.425990940193003,1230.3964053788015,327.625,1269.9360273122604,b'Shift in process',0,0.005159425,16.128187546865707,-0.006664560323649482,-1.291725400340054,2.7840741524531434,4.1608374999999995,0.0,0.0,0.0
2024-08-05 10:20:01.220751777-03:00,5.0,6.0,15.422993343162174,1230.031777696685,327.625,1269.875,b'Shift in process',0,0.000600009,16.1274125,-0.0007750468657086174,-1.2917254003000245,2.7840741521080385,4.1608374999999995,0.0,0.0,0.0
2024-08-05 10:20:01.224983969-03:00,5.0,6.0,15.401849650028344,1227.4598590099868,325.95487415529027,1268.152682722643,b'Shift in process',0,0.004232192,16.105539070577567,-0.0218734294224312,-5.1683452505064045,713.51986542436,4.1396269017721865,-0.021210598227813016,-5.011728727764009,630.8850306279647
2024-08-05 10:20:01.226487618-03:00,5.0,6.0,15.394337539746756,1226.5460859672423,325.36149770727906,1267.5407632606316,b'Shift in process',0,0.001503649,16.09776769341002,-0.0077713771675469445,-5.168345250485283,713.519865412696,4.132091020882444,-0.00753588088974233,-5.011728727743197,630.8850306174854
2024-08-05 10:20:01.227591916-03:00,5.0,6.0,15.3888205551581,1225.875,324.9257148717991,1267.091362211543,b'Shift in process',0,0.001104298,16.092060300086597,-0.005707393323422849,-5.168345250487503,713.5198654139222,4.126556578871848,-0.005534442010596052,-5.01172872774926,630.8850306205383
2024-08-05 10:20:01.230288037-03:00,5.0,6.0,15.375350950027915,1224.1519027280845,323.86175998446845,1265.994158733983,b'Shift in process',0,0.002696121,16.078125815921585,-0.013934484165012861,-5.1683452504590335,713.5198653982006,4.11304435180275,-0.01351222706909816,-5.011728727715915,630.8850306037482
2024-08-05 10:20:01.230888-03:00,5.0,6.0,15.372353582809254,1223.7684649637636,323.625,1265.75,b'Shift in process',0,0.000599963,16.075025,-0.003100815921584399,-5.168345250597785,713.5198654748223,4.1100375,-0.0030068518027501767,-5.0117287278551785,630.8850306738711
2024-08-05 10:20:01.231472291-03:00,5.0,6.0,15.369434511650686,1223.3950432115118,323.5096671120439,1265.468876085607,b'Shift in process',0,0.000584291,16.071454726287207,-0.0035702737127927264,-6.110437629182592,1394.085024655953,4.108572772322958,-0.001464727677041644,-2.506846206841529,39.49214878420148
2024-08-05 10:20:01.232672450-03:00,5.0,6.0,15.363438613164218,1222.6280187720529,323.27276836899455,1264.8914353994242,b'Shift in process',0,0.001200159,16.064121229572688,-0.0073334967145193275,-6.110437629113583,1394.0850245929753,4.105564158286231,-0.003008614036727586,-2.506846206817252,39.49214878267166
2024-08-05 10:20:01.235105488-03:00,5.0,6.0,15.351283349684875,1221.0730584641417,322.7925122995849,1263.7208112302383,b'Shift in process',0,0.002433038,16.049254302624025,-0.014866926948663206,-6.110437629277967,1394.085024742991,4.099464906204728,-0.006099252081502193,-2.506846206882997,39.49214878681456
2024-08-05 10:20:01.240420291-03:00,5.0,6.0,15.324731018481945,1217.6763553673127,321.74342617826375,1261.1636638095179,b'Shift in process',0,0.005314803,16.016778530380876,-0.03247577224314924,-6.110437629230893,1394.0850247000321,4.08614151246395,-0.0133233937407784,-2.5068462068638104,39.49214878560553
2024-08-05 10:20:01.241020253-03:00,5.0,6.0,15.321733656259294,1217.2929182421055,321.625,1260.875,b'Shift in process',0,0.000599962,16.013112500000002,-0.0036660303808737638,-6.110437629172787,1394.0850246470045,4.0846375,-0.0015040124639496,-2.5068462068424333,39.492148784258454
2024-08-05 10:20:01.241588512-03:00,5.0,6.0,15.318894679691928,1216.9297425787524,321.5111833707563,1260.6260261235295,b'Shift in process',0,0.000568259,16.009950531768826,-0.003161968231175649,-5.5643082312390115,958.6160979601002,4.083192028808606,-0.0014454711913947094,-2.5436837628523428,41.86513259204344
2024-08-05 10:20:01.242144787-03:00,5.0,6.0,15.31611557423132,1216.574225918,321.3997670175975,1260.3823028509946,b'Shift in process',0,0.000556275,16.006855246207632,-0.0030952855611943164,-5.564308230990637,958.6160977889408,4.081777041123489,-0.0014149876851163867,-2.543683762736752,41.86513258443365
2024-08-05 10:20:01.242756250-03:00,5.0,6.0,15.313060753931365,1216.1834384766332,321.2772970565972,1260.1143998113064,b'Shift in process',0,0.000611463,16.003452877603593,-0.0034023686040391965,-5.564308231306222,958.616098006416,4.0802216726187845,-0.0015553685047047239,-2.543683762884629,41.86513259416896
